method,target_sparsity,actual_sparsity,seed,memorized,grokked,memorization_step,grokking_step,grokking_gap,final_train_acc,final_val_acc,last_logged_step,live_confirmation_step,evals_from_live_confirmation,stopped_before_budget,weight_decay,n_grok_steps,summary_source,history_source
one_shot,0.7,0.7000009568279241,2,True,True,220,275,55,1.0,1.0,9875,280,500,True,1.0,40000,res/raw/exp_b_sp_70_80.zip!exp_b/one_shot/sp_0.70/seed_2/grok_phase/summary.json,res/raw/exp_b_sp_70_80.zip!exp_b/one_shot/sp_0.70/seed_2/grok_phase/history.json
one_shot,0.7,0.7000009568279241,3,False,False,,,,0.9400510204081632,0.9022316684378321,40000,,,False,1.0,40000,res/raw/exp_b_sp_70_80.zip!exp_b/one_shot/sp_0.70/seed_3/grok_phase/summary.json,res/raw/exp_b_sp_70_80.zip!exp_b/one_shot/sp_0.70/seed_3/grok_phase/history.json
one_shot,0.7,0.7000009568279241,4,True,True,135,155,20,1.0,1.0,9275,160,500,True,1.0,40000,res/raw/exp_b_sp_70_80.zip!exp_b/one_shot/sp_0.70/seed_4/grok_phase/summary.json,res/raw/exp_b_sp_70_80.zip!exp_b/one_shot/sp_0.70/seed_4/grok_phase/history.json
one_shot,0.8,0.8000038273116963,0,True,True,185,220,35,1.0,0.9993623804463337,9600,225,500,True,1.0,40000,res/raw/exp_b_sp_70_80.zip!exp_b/one_shot/sp_0.80/seed_0/grok_phase/summary.json,res/raw/exp_b_sp_70_80.zip!exp_b/one_shot/sp_0.80/seed_0/grok_phase/history.json
one_shot,0.8,0.8000038273116963,1,True,True,1025,1475,450,1.0,1.0,13975,1500,500,True,1.0,40000,res/raw/exp_b_sp_70_80.zip!exp_b/one_shot/sp_0.80/seed_1/grok_phase/summary.json,res/raw/exp_b_sp_70_80.zip!exp_b/one_shot/sp_0.80/seed_1/grok_phase/history.json
one_shot,0.8,0.8000038273116963,2,True,True,935,1125,190,1.0,0.99192348565356,13625,1150,500,True,1.0,40000,res/raw/exp_b_sp_70_80.zip!exp_b/one_shot/sp_0.80/seed_2/grok_phase/summary.json,res/raw/exp_b_sp_70_80.zip!exp_b/one_shot/sp_0.80/seed_2/grok_phase/history.json
one_shot,0.8,0.8000038273116963,3,False,False,,,,0.8601190476190477,0.8174282678002125,40000,,,False,1.0,40000,res/raw/exp_b_sp_70_80.zip!exp_b/one_shot/sp_0.80/seed_3/grok_phase/summary.json,res/raw/exp_b_sp_70_80.zip!exp_b/one_shot/sp_0.80/seed_3/grok_phase/history.json
one_shot,0.8,0.8000038273116963,4,True,True,145,155,10,1.0,0.999787460148778,9275,160,500,True,1.0,40000,res/raw/exp_b_sp_70_80.zip!exp_b/one_shot/sp_0.80/seed_4/grok_phase/summary.json,res/raw/exp_b_sp_70_80.zip!exp_b/one_shot/sp_0.80/seed_4/grok_phase/history.json
one_shot,0.9,0.9000019136558481,0,True,False,620,,,1.0,0.9005313496280553,40000,,,False,1.0,40000,res/raw/exp_b_sp_90_95.zip!exp_b/one_shot/sp_0.90/seed_0/grok_phase/summary.json,res/raw/exp_b_sp_90_95.zip!exp_b/one_shot/sp_0.90/seed_0/grok_phase/history.json
one_shot,0.9,0.9000019136558481,1,True,True,350,560,210,1.0,1.0,11300,565,500,True,1.0,40000,res/raw/exp_b_sp_90_95.zip!exp_b/one_shot/sp_0.90/seed_1/grok_phase/summary.json,res/raw/exp_b_sp_90_95.zip!exp_b/one_shot/sp_0.90/seed_1/grok_phase/history.json
one_shot,0.9,0.9000019136558481,2,True,True,900,13375,12475,1.0,0.9738575982996812,25875,13400,500,True,1.0,40000,res/raw/exp_b_sp_90_95.zip!exp_b/one_shot/sp_0.90/seed_2/grok_phase/summary.json,res/raw/exp_b_sp_90_95.zip!exp_b/one_shot/sp_0.90/seed_2/grok_phase/history.json
one_shot,0.9,0.9000019136558481,3,False,False,,,,0.9071003401360545,0.8112646121147715,40000,,,False,1.0,40000,res/raw/exp_b_sp_90_95.zip!exp_b/one_shot/sp_0.90/seed_3/grok_phase/summary.json,res/raw/exp_b_sp_90_95.zip!exp_b/one_shot/sp_0.90/seed_3/grok_phase/history.json
one_shot,0.9,0.9000019136558481,4,True,True,310,370,60,1.0,1.0,10350,375,500,True,1.0,40000,res/raw/exp_b_sp_90_95.zip!exp_b/one_shot/sp_0.90/seed_4/grok_phase/summary.json,res/raw/exp_b_sp_90_95.zip!exp_b/one_shot/sp_0.90/seed_4/grok_phase/history.json
one_shot,0.95,0.9500009568279241,0,False,False,,,,0.8514030612244898,0.5732199787460148,40000,,,False,1.0,40000,res/raw/exp_b_sp_90_95.zip!exp_b/one_shot/sp_0.95/seed_0/grok_phase/summary.json,res/raw/exp_b_sp_90_95.zip!exp_b/one_shot/sp_0.95/seed_0/grok_phase/history.json
one_shot,0.95,0.9500009568279241,1,True,True,805,1975,1170,1.0,0.9946865037194474,14475,2000,500,True,1.0,40000,res/raw/exp_b_sp_90_95.zip!exp_b/one_shot/sp_0.95/seed_1/grok_phase/summary.json,res/raw/exp_b_sp_90_95.zip!exp_b/one_shot/sp_0.95/seed_1/grok_phase/history.json
one_shot,0.95,0.9500009568279241,2,True,False,680,,,1.0,0.8841657810839533,40000,,,False,1.0,40000,res/raw/exp_b_sp_90_95.zip!exp_b/one_shot/sp_0.95/seed_2/grok_phase/summary.json,res/raw/exp_b_sp_90_95.zip!exp_b/one_shot/sp_0.95/seed_2/grok_phase/history.json
one_shot,0.95,0.9500009568279241,3,False,False,,,,0.5697278911564626,0.2157279489904357,40000,,,False,1.0,40000,res/raw/exp_b_sp_90_95.zip!exp_b/one_shot/sp_0.95/seed_3/grok_phase/summary.json,res/raw/exp_b_sp_90_95.zip!exp_b/one_shot/sp_0.95/seed_3/grok_phase/history.json
one_shot,0.95,0.9500009568279241,4,True,False,3675,,,1.0,0.8293304994686503,40000,,,False,1.0,40000,res/raw/exp_b_sp_90_95.zip!exp_b/one_shot/sp_0.95/seed_4/grok_phase/summary.json,res/raw/exp_b_sp_90_95.zip!exp_b/one_shot/sp_0.95/seed_4/grok_phase/history.json
